system,image,cer,wer,word_acc,ref_chars,seconds
hires-ml[ch],zh_val_0,0.23413897280966767,,,662,2.116
hires-ml[ch],zh_val_1,0.14085365853658535,,,1640,3.074
hires-ml[ch],zh_val_2,0.25901639344262295,,,610,1.201
hires-ml[ch],zh_val_3,0.6066666666666667,,,450,1.286
hires-ml[ch],zh_val_4,0.3977272727272727,,,264,0.769
hires-ml[ch],zh_val_5,0.5542168674698795,,,332,1.103
hires-ml[ch],zh_val_6,0.9382504288164666,,,583,1.295
hires-ml[ch],zh_val_7,0.41025641025641024,,,390,1.515
hires-ml[ch],zh_val_8,0.2129783693843594,,,601,2.109
hires-ml[ch],zh_val_9,0.20921544209215442,,,803,1.285
hires-ml[ch],zh_val_10,0.4052132701421801,,,422,0.781
hires-ml[ch],zh_val_11,0.10077519379844961,,,645,1.644
hires-ml[ch],zh_val_12,0.3980815347721823,,,834,3.74
hires-ml[ch],zh_val_13,0.332,,,250,1.012
hires-ml[ch],zh_val_14,0.3865546218487395,,,476,1.73
hires-ml[ch],zh_val_15,0.9248895434462445,,,679,1.077
hires-ml[ch],zh_val_16,0.5407925407925408,,,429,1.101
hires-ml[ch],zh_val_17,0.708,,,250,0.855
hires-ml[ch],zh_val_18,0.1669266770670827,,,641,2.153
hires-ml[ch],zh_val_19,0.2862453531598513,,,269,0.603
hires-ml[ch],zh_val_20,0.34655172413793106,,,1160,2.577
hires-ml[ch],zh_val_21,0.9311377245508982,,,334,0.849
hires-ml[ch],zh_val_22,0.13429752066115702,,,484,0.958
hires-ml[ch],zh_val_23,0.294478527607362,,,652,1.343
hires-ml[ch],zh_val_24,0.20425531914893616,,,470,1.336
hires-ml[ch],zh_val_25,0.394856278366112,,,661,1.944
hires-ml[ch],zh_val_26,0.2654109589041096,,,1752,3.092
hires-ml[ch],zh_val_27,0.36908517350157727,,,317,1.138
hires-ml[ch],zh_val_28,0.3340691685062546,,,1359,3.294
hires-ml[ch],zh_val_29,0.9775596072931276,,,713,2.344
hires-ml[ch],zh_val_30,0.23230974632843793,,,749,1.998
hires-ml[ch],zh_val_31,0.27564102564102566,,,156,0.435
hires-ml[ch],zh_val_32,0.32936870997255263,,,1093,3.123
hires-ml[ch],zh_val_33,0.6491228070175439,,,684,1.933
hires-ml[ch],zh_val_34,0.21981981981981982,,,555,2.105
hires-ml[ch],zh_val_35,0.22306525037936267,,,659,1.721
hires-ml[ch],zh_val_36,0.36009732360097324,,,411,1.307
hires-ml[ch],zh_val_37,0.33535353535353535,,,495,1.366
hires-ml[ch],zh_val_38,0.7610132158590308,,,908,2.66
hires-ml[ch],zh_val_39,0.3229166666666667,,,384,1.142
paddle-stock[ch],zh_val_0,0.2537764350453172,,,662,1.949
paddle-stock[ch],zh_val_1,0.28292682926829266,,,1640,2.922
paddle-stock[ch],zh_val_2,0.24262295081967214,,,610,1.879
paddle-stock[ch],zh_val_3,0.6422222222222222,,,450,1.876
paddle-stock[ch],zh_val_4,0.4734848484848485,,,264,1.427
paddle-stock[ch],zh_val_5,0.5030120481927711,,,332,1.517
paddle-stock[ch],zh_val_6,0.934819897084048,,,583,1.747
paddle-stock[ch],zh_val_7,0.43846153846153846,,,390,1.593
paddle-stock[ch],zh_val_8,0.281198003327787,,,601,1.972
paddle-stock[ch],zh_val_9,0.3013698630136986,,,803,1.738
paddle-stock[ch],zh_val_10,0.4052132701421801,,,422,1.566
paddle-stock[ch],zh_val_11,0.15348837209302327,,,645,1.825
paddle-stock[ch],zh_val_12,0.3932853717026379,,,834,2.165
paddle-stock[ch],zh_val_13,0.396,,,250,1.375
paddle-stock[ch],zh_val_14,0.3865546218487395,,,476,1.801
paddle-stock[ch],zh_val_15,0.9189985272459499,,,679,1.779
paddle-stock[ch],zh_val_16,0.5384615384615384,,,429,1.801
paddle-stock[ch],zh_val_17,0.672,,,250,1.507
paddle-stock[ch],zh_val_18,0.21372854914196568,,,641,1.905
paddle-stock[ch],zh_val_19,0.275092936802974,,,269,1.305
paddle-stock[ch],zh_val_20,0.39827586206896554,,,1160,2.082
paddle-stock[ch],zh_val_21,0.9461077844311377,,,334,1.472
paddle-stock[ch],zh_val_22,0.1756198347107438,,,484,1.386
paddle-stock[ch],zh_val_23,0.294478527607362,,,652,1.739
paddle-stock[ch],zh_val_24,0.2531914893617021,,,470,1.625
paddle-stock[ch],zh_val_25,0.35703479576399394,,,661,1.806
paddle-stock[ch],zh_val_26,0.2631278538812785,,,1752,2.914
paddle-stock[ch],zh_val_27,0.41009463722397477,,,317,1.454
paddle-stock[ch],zh_val_28,0.33922001471670343,,,1359,2.443
paddle-stock[ch],zh_val_29,0.9761570827489481,,,713,1.915
paddle-stock[ch],zh_val_30,0.2349799732977303,,,749,1.823
paddle-stock[ch],zh_val_31,0.4166666666666667,,,156,1.299
paddle-stock[ch],zh_val_32,0.3403476669716377,,,1093,2.377
paddle-stock[ch],zh_val_33,0.6549707602339181,,,684,1.828
paddle-stock[ch],zh_val_34,0.24324324324324326,,,555,1.695
paddle-stock[ch],zh_val_35,0.30500758725341426,,,659,1.731
paddle-stock[ch],zh_val_36,0.3746958637469586,,,411,1.5
paddle-stock[ch],zh_val_37,0.3797979797979798,,,495,1.741
paddle-stock[ch],zh_val_38,0.3634361233480176,,,908,2.055
paddle-stock[ch],zh_val_39,0.4010416666666667,,,384,1.517
