system,image,cer,wer,word_acc,ref_chars,seconds
hires-ml[japan],ja_val_0,0.3380084151472651,,,713,2.33
hires-ml[japan],ja_val_1,0.3254237288135593,,,590,1.827
hires-ml[japan],ja_val_2,0.08333333333333333,,,792,2.44
hires-ml[japan],ja_val_3,0.07342657342657342,,,286,1.098
hires-ml[japan],ja_val_4,0.2872872872872873,,,999,3.247
hires-ml[japan],ja_val_5,0.49842271293375395,,,317,1.292
hires-ml[japan],ja_val_6,0.05405405405405406,,,370,0.89
hires-ml[japan],ja_val_7,0.26495726495726496,,,936,3.578
hires-ml[japan],ja_val_8,0.5369532428355958,,,663,2.861
hires-ml[japan],ja_val_9,0.19117647058823528,,,204,0.857
hires-ml[japan],ja_val_10,0.547486033519553,,,895,3.06
hires-ml[japan],ja_val_11,0.3165266106442577,,,357,1.33
hires-ml[japan],ja_val_12,0.21376433785192908,,,959,2.051
hires-ml[japan],ja_val_13,0.4854014598540146,,,274,0.594
hires-ml[japan],ja_val_14,0.2682808716707022,,,2065,4.115
hires-ml[japan],ja_val_15,0.26541554959785524,,,373,1.499
hires-ml[japan],ja_val_16,0.704644412191582,,,1378,3.732
hires-ml[japan],ja_val_17,0.4573055028462998,,,1054,3.324
hires-ml[japan],ja_val_18,0.1875,,,576,2.003
hires-ml[japan],ja_val_19,0.20298879202988793,,,803,1.903
hires-ml[japan],ja_val_20,0.35555555555555557,,,225,1.44
hires-ml[japan],ja_val_21,0.4946070878274268,,,649,1.782
hires-ml[japan],ja_val_22,0.5235849056603774,,,212,1.13
hires-ml[japan],ja_val_23,0.3825448613376835,,,1226,2.897
hires-ml[japan],ja_val_24,0.053231939163498096,,,1578,3.672
hires-ml[japan],ja_val_25,0.2949526813880126,,,634,2.784
hires-ml[japan],ja_val_26,0.18627450980392157,,,510,1.602
hires-ml[japan],ja_val_27,0.5723684210526315,,,912,2.04
hires-ml[japan],ja_val_28,0.4496951219512195,,,656,2.339
hires-ml[japan],ja_val_29,0.14068441064638784,,,263,0.919
hires-ml[japan],ja_val_30,0.5202411714039621,,,1161,3.305
hires-ml[japan],ja_val_31,0.32142857142857145,,,616,2.156
hires-ml[japan],ja_val_32,0.37250996015936255,,,1004,2.434
hires-ml[japan],ja_val_33,0.1223021582733813,,,695,2.353
hires-ml[japan],ja_val_34,0.1384909264565425,,,1047,2.729
hires-ml[japan],ja_val_35,0.08421052631578947,,,760,3.012
hires-ml[japan],ja_val_36,0.12973484848484848,,,1056,2.941
hires-ml[japan],ja_val_37,0.07051282051282051,,,156,0.486
hires-ml[japan],ja_val_38,0.10182207931404073,,,933,2.015
hires-ml[japan],ja_val_39,0.196875,,,640,1.598
paddle-stock[japan],ja_val_0,0.6690042075736325,,,713,1.883
paddle-stock[japan],ja_val_1,0.3474576271186441,,,590,1.813
paddle-stock[japan],ja_val_2,0.08964646464646464,,,792,1.781
paddle-stock[japan],ja_val_3,0.08741258741258741,,,286,1.331
paddle-stock[japan],ja_val_4,0.3153153153153153,,,999,2.11
paddle-stock[japan],ja_val_5,0.4952681388012618,,,317,1.579
paddle-stock[japan],ja_val_6,0.051351351351351354,,,370,1.462
paddle-stock[japan],ja_val_7,0.30128205128205127,,,936,2.019
paddle-stock[japan],ja_val_8,0.5203619909502263,,,663,2.11
paddle-stock[japan],ja_val_9,0.19607843137254902,,,204,1.279
paddle-stock[japan],ja_val_10,0.5653631284916201,,,895,2.309
paddle-stock[japan],ja_val_11,0.3081232492997199,,,357,1.53
paddle-stock[japan],ja_val_12,0.23670490093847757,,,959,1.965
paddle-stock[japan],ja_val_13,0.4854014598540146,,,274,1.3
paddle-stock[japan],ja_val_14,0.1152542372881356,,,2065,3.25
paddle-stock[japan],ja_val_15,0.2734584450402145,,,373,1.379
paddle-stock[japan],ja_val_16,0.693033381712627,,,1378,2.672
paddle-stock[japan],ja_val_17,0.45445920303605314,,,1054,2.547
paddle-stock[japan],ja_val_18,0.2222222222222222,,,576,2.361
paddle-stock[japan],ja_val_19,0.286425902864259,,,803,1.842
paddle-stock[japan],ja_val_20,0.40444444444444444,,,225,1.347
paddle-stock[japan],ja_val_21,0.4591679506933744,,,649,1.826
paddle-stock[japan],ja_val_22,0.5235849056603774,,,212,1.372
paddle-stock[japan],ja_val_23,0.3531810766721044,,,1226,2.269
paddle-stock[japan],ja_val_24,0.059569074778200254,,,1578,2.52
paddle-stock[japan],ja_val_25,0.3028391167192429,,,634,1.725
paddle-stock[japan],ja_val_26,0.17450980392156862,,,510,1.501
paddle-stock[japan],ja_val_27,0.6030701754385965,,,912,2.347
paddle-stock[japan],ja_val_28,0.4893292682926829,,,656,1.866
paddle-stock[japan],ja_val_29,0.20532319391634982,,,263,1.311
paddle-stock[japan],ja_val_30,0.5460809646856158,,,1161,2.201
paddle-stock[japan],ja_val_31,0.3262987012987013,,,616,1.761
paddle-stock[japan],ja_val_32,0.36354581673306774,,,1004,2.112
paddle-stock[japan],ja_val_33,0.1381294964028777,,,695,1.848
paddle-stock[japan],ja_val_34,0.14995224450811842,,,1047,2.026
paddle-stock[japan],ja_val_35,0.07894736842105263,,,760,1.773
paddle-stock[japan],ja_val_36,0.14488636363636365,,,1056,2.122
paddle-stock[japan],ja_val_37,0.25,,,156,1.236
paddle-stock[japan],ja_val_38,0.12218649517684887,,,933,1.946
paddle-stock[japan],ja_val_39,0.20625,,,640,1.697
